Question,Question ID,Sample,Model,start_temp_avg,start_prep_avg,start_prep_var,elevation,plants,mammals,dist_freshwater,dist_coastline
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,1,1,1.04,1.14,1.18,,,,,
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,1,2,1.23,1.14,1.18,1.19,,,,
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,1,3,1.26,1.22,1.23,1.2,1.2,,,
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,1,4,1.72,1.22,1.24,1.27,2.03,2.09,,
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,1,5,1.75,1.22,1.25,1.27,2.08,2.12,1.04,
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,1,6,1.75,1.22,1.36,1.82,2.08,2.12,1.04,1.59
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,2,1,1.11,1.19,1.28,,,,,
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,2,2,1.34,1.19,1.28,1.22,,,,
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,2,3,1.61,2.5,1.29,1.26,2.76,,,
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,2,4,2.2,2.74,1.3,1.31,3.84,2.97,,
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,2,5,2.2,2.75,1.3,1.32,3.84,2.98,1.01,
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,2,6,2.22,2.77,1.53,1.88,3.86,2.99,1.01,1.76
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,3,1,/,/,/,,,,,
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,3,2,/,/,/,/,,,,
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,3,3,/,/,/,/,/,,,
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,3,4,/,/,/,/,/,/,,
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,3,5,/,/,/,/,/,/,/,
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,3,6,/,/,/,/,/,/,/,/
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,4,1,1.01,3.02,3.01,,,,,
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,4,2,1.94,3.64,3.65,2.05,,,,
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,4,3,2.02,3.74,3.58,1.79,1.19,,,
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,4,4,6.27,3.99,4.03,3.07,2.48,4.07,,
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,4,5,-,-,-,-,-,-,-,
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,4,6,-,-,-,-,-,-,-,-
