Question,Question ID,Sample,Model,start_temp_avg,start_prep_avg,start_prep_var,elevation,plants,mammals,dist_freshwater,dist_coastline
Does membership in this religious group require participation in large-scale rituals:,5154,1,1,/,/,/,,,,,
Does membership in this religious group require participation in large-scale rituals:,5154,1,2,/,/,/,/,,,,
Does membership in this religious group require participation in large-scale rituals:,5154,1,3,/,/,/,/,/,,,
Does membership in this religious group require participation in large-scale rituals:,5154,1,4,/,/,/,/,/,/,,
Does membership in this religious group require participation in large-scale rituals:,5154,1,5,/,/,/,/,/,/,/,
Does membership in this religious group require participation in large-scale rituals:,5154,1,6,/,/,/,/,/,/,/,/
Does membership in this religious group require participation in large-scale rituals:,5154,2,1,/,/,/,,,,,
Does membership in this religious group require participation in large-scale rituals:,5154,2,2,/,/,/,/,,,,
Does membership in this religious group require participation in large-scale rituals:,5154,2,3,/,/,/,/,/,,,
Does membership in this religious group require participation in large-scale rituals:,5154,2,4,/,/,/,/,/,/,,
Does membership in this religious group require participation in large-scale rituals:,5154,2,5,/,/,/,/,/,/,/,
Does membership in this religious group require participation in large-scale rituals:,5154,2,6,/,/,/,/,/,/,/,/
Does membership in this religious group require participation in large-scale rituals:,5154,3,1,1.16,1.82,1.83,,,,,
Does membership in this religious group require participation in large-scale rituals:,5154,3,2,1.71,1.92,1.92,1.52,,,,
Does membership in this religious group require participation in large-scale rituals:,5154,3,3,1.98,3.07,2.87,1.99,1.49,,,
Does membership in this religious group require participation in large-scale rituals:,5154,3,4,2.59,3.08,2.88,2.21,1.51,1.56,,
Does membership in this religious group require participation in large-scale rituals:,5154,3,5,2.97,3.26,3.01,2.23,1.75,2.28,1.79,
Does membership in this religious group require participation in large-scale rituals:,5154,3,6,2.98,3.3,3.75,2.42,2.3,2.32,1.79,2.02
Does membership in this religious group require participation in large-scale rituals:,5154,4,1,1.06,1.47,1.53,,,,,
Does membership in this religious group require participation in large-scale rituals:,5154,4,2,1.52,1.56,1.54,1.49,,,,
Does membership in this religious group require participation in large-scale rituals:,5154,4,3,1.81,2.2,1.83,1.86,1.44,,,
Does membership in this religious group require participation in large-scale rituals:,5154,4,4,2.41,2.21,1.85,2.07,1.45,1.56,,
Does membership in this religious group require participation in large-scale rituals:,5154,4,5,2.71,2.35,2.01,2.11,1.63,2.15,1.64,
Does membership in this religious group require participation in large-scale rituals:,5154,4,6,2.72,2.38,2.72,2.33,2.06,2.18,1.65,2.09
