Question,Question ID,Sample,Model,start_temp_avg,start_prep_avg,start_prep_var,elevation,plants,mammals,dist_freshwater,dist_coastline
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,1,1,1.05,1.1,1.12,,,,,
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,1,2,1.25,1.11,1.12,1.19,,,,
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,1,3,1.27,1.31,1.19,1.23,1.37,,,
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,1,4,1.62,1.31,1.22,1.29,2.35,2.32,,
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,1,5,1.67,1.31,1.22,1.29,2.39,2.34,1.04,
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,1,6,1.67,1.32,1.33,1.84,2.41,2.35,1.04,1.67
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,2,1,1.08,1.12,1.21,,,,,
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,2,2,1.35,1.12,1.21,1.25,,,,
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,2,3,1.67,2.72,1.22,1.31,2.9,,,
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,2,4,2.24,2.97,1.24,1.4,4.21,3.49,,
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,2,5,2.24,2.98,1.24,1.4,4.21,3.49,1.01,
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,2,6,2.25,3.02,1.41,2.07,4.26,3.5,1.01,1.83
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,3,1,/,/,/,,,,,
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,3,2,/,/,/,/,,,,
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,3,3,/,/,/,/,/,,,
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,3,4,/,/,/,/,/,/,,
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,3,5,/,/,/,/,/,/,/,
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,3,6,/,/,/,/,/,/,/,/
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,4,1,1.35,15.29,16.12,,,,,
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,4,2,,,,,,,,
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,4,3,,,,,,,,
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,4,4,,,,,,,,
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,4,5,,,,,,,,
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,4,6,,,,,,,,
