Question,Question ID,Variable,coefficients_1,p_value_1,adjust_p_value_1,sig_1,AIC_1,coefficients_2,p_value_2,adjust_p_value_2,sig_2,AIC_2,coefficients_3,p_value_3,adjust_p_value_3,sig_3,AIC_3,coefficients_4,p_value_4,adjust_p_value_4,sig_4,AIC_4
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,(Intercept),0.09,0.62,1,,335.85,0.3,0.25,1,,240.58,-,-,-,-,-,-,-,-,-,-
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,start_temp_avg,-0.04,0.53,1,,335.85,0.08,0.51,1,,240.58,-,-,-,-,-,-,-,-,-,-
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,start_prep_avg,-0.16,0.29,1,,335.85,-0.37,0.068,1,,240.58,-,-,-,-,-,-,-,-,-,-
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,start_prep_var,0.03,0.19,1,,335.85,0.03,0.38,1,,240.58,-,-,-,-,-,-,-,-,-,-
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,elevation,-0.09,0.4,1,,335.85,-0.13,0.55,1,,240.58,-,-,-,-,-,-,-,-,-,-
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,mammals,-0.02,0.8,1,,335.85,0.06,0.82,1,,240.58,-,-,-,-,-,-,-,-,-,-
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,plants,0.02,0.79,1,,335.85,0.39,0.066,1,,240.58,-,-,-,-,-,-,-,-,-,-
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,dist_coastline,0.31,0.15,1,,335.85,0.5,0.041,1,,240.58,-,-,-,-,-,-,-,-,-,-
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,dist_freshwater,0,0.11,1,,335.85,0,0.059,1,,240.58,-,-,-,-,-,-,-,-,-,-
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,mammals:plants,-0.02,0.73,1,,335.85,0.26,0.25,1,,240.58,-,-,-,-,-,-,-,-,-,-
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,start_prep_avg:mammals,0.13,0.037,1,,335.85,-0.08,0.75,1,,240.58,-,-,-,-,-,-,-,-,-,-
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,start_prep_avg:plants,-0.04,0.52,1,,335.85,-0.18,0.26,1,,240.58,-,-,-,-,-,-,-,-,-,-
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,start_temp_avg:mammals,0.01,0.85,1,,335.85,0.13,0.36,1,,240.58,-,-,-,-,-,-,-,-,-,-
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,start_temp_avg:elevation,-0.06,0.43,1,,335.85,-0.08,0.61,1,,240.58,-,-,-,-,-,-,-,-,-,-
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,start_prep_avg:start_prep_var,0.03,0.18,1,,335.85,0.03,0.26,1,,240.58,-,-,-,-,-,-,-,-,-,-
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,start_prep_var:dist_coastline,-0.03,0.32,1,,335.85,-0.06,0.15,1,,240.58,-,-,-,-,-,-,-,-,-,-
Is public food storage provided to the group’s adherents by an institution(s) other than the religious group in question:,5189,start_prep_avg:mammals:plants,-0.09,0.12,1,,335.85,-0.25,0.11,1,,240.58,-,-,-,-,-,-,-,-,-,-
