Question,Question ID,Sample,Model,start_temp_avg,start_prep_avg,start_prep_var,elevation,plants,mammals,dist_freshwater,dist_coastline
Does the religious group in question provide public food storage:,5188,1,1,1.02,1.04,1.05,,,,,
Does the religious group in question provide public food storage:,5188,1,2,1.23,1.04,1.06,1.21,,,,
Does the religious group in question provide public food storage:,5188,1,3,1.25,1.16,1.07,1.23,1.15,,,
Does the religious group in question provide public food storage:,5188,1,4,1.61,1.17,1.1,1.29,1.66,1.85,,
Does the religious group in question provide public food storage:,5188,1,5,1.72,1.17,1.1,1.3,1.85,2.02,1.16,
Does the religious group in question provide public food storage:,5188,1,6,1.72,1.18,1.14,1.53,1.91,2.13,1.18,1.36
Does the religious group in question provide public food storage:,5188,2,1,1.07,1.07,1.12,,,,,
Does the religious group in question provide public food storage:,5188,2,2,1.38,1.07,1.13,1.29,,,,
Does the religious group in question provide public food storage:,5188,2,3,1.64,2.87,1.16,1.38,2.73,,,
Does the religious group in question provide public food storage:,5188,2,4,1.97,3.14,1.18,1.41,3.52,3.04,,
Does the religious group in question provide public food storage:,5188,2,5,1.98,3.15,1.19,1.41,3.53,3.05,1.02,
Does the religious group in question provide public food storage:,5188,2,6,1.98,3.2,1.41,2.09,3.54,3.06,1.02,1.91
Does the religious group in question provide public food storage:,5188,3,1,1.06,3.89,3.84,,,,,
Does the religious group in question provide public food storage:,5188,3,2,1.8,4.04,3.97,1.74,,,,
Does the religious group in question provide public food storage:,5188,3,3,1.71,5.79,5.42,1.98,1.49,,,
Does the religious group in question provide public food storage:,5188,3,4,-,-,-,-,-,-,,
Does the religious group in question provide public food storage:,5188,3,5,-,-,-,-,-,-,-,
Does the religious group in question provide public food storage:,5188,3,6,-,-,-,-,-,-,-,-
Does the religious group in question provide public food storage:,5188,4,1,1.02,2.43,2.4,,,,,
Does the religious group in question provide public food storage:,5188,4,2,1.79,2.46,2.42,1.77,,,,
Does the religious group in question provide public food storage:,5188,4,3,1.67,2.92,2.75,2,1.4,,,
Does the religious group in question provide public food storage:,5188,4,4,2.08,2.9,2.74,2.31,1.45,1.37,,
Does the religious group in question provide public food storage:,5188,4,5,2.25,2.9,2.74,2.37,1.58,1.55,1.23,
Does the religious group in question provide public food storage:,5188,4,6,2.46,3.23,3.31,2.96,2.02,1.55,1.22,1.58
