Question,Question ID,Variable,coefficients_1,adjust_p_value_1,sig_1,AIC_1,coefficients_2,adjust_p_value_2,sig_2,AIC_2,coefficients_3,adjust_p_value_3,sig_3,AIC_3,coefficients_4,adjust_p_value_4,sig_4,AIC_4
Does the religious group in question provide public food storage:,5188,(Intercept),0.34,0.04,*,351.8,0.34,1,,247.09,1.06,1,,98.82,-0.2,1,,108.98
Does the religious group in question provide public food storage:,5188,start_temp_avg,0.01,1,,351.8,0.04,1,,247.09,0.04,1,,98.82,0.06,1,,108.98
Does the religious group in question provide public food storage:,5188,start_prep_avg,-0.07,1,,351.8,-0.14,1,,247.09,0.49,1,,98.82,-0.08,1,,108.98
Does the religious group in question provide public food storage:,5188,start_prep_var,-0.03,1,,351.8,-0.02,1,,247.09,-0.16,1,,98.82,0.04,1,,108.98
Does the religious group in question provide public food storage:,5188,elevation,-0.03,1,,351.8,0.01,1,,247.09,0.06,1,,98.82,-0.01,1,,108.98
Does the religious group in question provide public food storage:,5188,mammals,-0.06,1,,351.8,-0.1,1,,247.09,-0.03,1,,98.82,0,1,,108.98
Does the religious group in question provide public food storage:,5188,plants,0.06,1,,351.8,0.19,1,,247.09,-0.03,1,,98.82,0,1,,108.98
Does the religious group in question provide public food storage:,5188,dist_coastline,0.02,1,,351.8,0.07,1,,247.09,-0.02,1,,98.82,0.17,1,,108.98
Does the religious group in question provide public food storage:,5188,dist_freshwater,-0,1,,351.8,-0,1,,247.09,-0,1,,98.82,-0,1,,108.98
Does the religious group in question provide public food storage:,5188,mammals:plants,0.03,1,,351.8,0.15,1,,247.09,-0.01,1,,98.82,-0.02,1,,108.98
Does the religious group in question provide public food storage:,5188,start_prep_avg:mammals,0.01,1,,351.8,-0.07,1,,247.09,-0.03,1,,98.82,0.02,1,,108.98
Does the religious group in question provide public food storage:,5188,start_prep_avg:plants,0.08,1,,351.8,0.08,1,,247.09,0.02,1,,98.82,-0.05,1,,108.98
Does the religious group in question provide public food storage:,5188,start_temp_avg:mammals,-0.03,1,,351.8,0.09,1,,247.09,0.05,1,,98.82,-0.04,1,,108.98
Does the religious group in question provide public food storage:,5188,start_temp_avg:elevation,-0.07,1,,351.8,-0.03,1,,247.09,-0.03,1,,98.82,-0,1,,108.98
Does the religious group in question provide public food storage:,5188,start_prep_avg:start_prep_var,0.02,1,,351.8,0.02,1,,247.09,-0.05,1,,98.82,0.01,1,,108.98
Does the religious group in question provide public food storage:,5188,start_prep_var:dist_coastline,-0.01,1,,351.8,-0.01,1,,247.09,0,1,,98.82,-0.03,1,,108.98
Does the religious group in question provide public food storage:,5188,start_prep_avg:mammals:plants,-0,1,,351.8,-0.06,1,,247.09,0.02,1,,98.82,0,1,,108.98
