Question,Question ID,Variable,coefficients_1,p_value_1,adjust_p_value_1,sig_1,AIC_1,coefficients_2,p_value_2,adjust_p_value_2,sig_2,AIC_2,coefficients_3,p_value_3,adjust_p_value_3,sig_3,AIC_3,coefficients_4,p_value_4,adjust_p_value_4,sig_4,AIC_4
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,(Intercept),0.85,6.2e-10,1.1e-6,***,335.1,0.94,5.4e-6,0.0096,**,264.03,-,-,-,-,-,-,-,-,-,-
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,start_temp_avg,0.01,0.82,1,,335.1,0.11,0.3,1,,264.03,-,-,-,-,-,-,-,-,-,-
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,start_prep_avg,-0.15,0.18,1,,335.1,-0.17,0.2,1,,264.03,-,-,-,-,-,-,-,-,-,-
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,start_prep_var,-0.02,0.39,1,,335.1,-0.02,0.35,1,,264.03,-,-,-,-,-,-,-,-,-,-
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,elevation,0.01,0.9,1,,335.1,0.01,0.93,1,,264.03,-,-,-,-,-,-,-,-,-,-
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,mammals,-0.01,0.92,1,,335.1,-0.08,0.7,1,,264.03,-,-,-,-,-,-,-,-,-,-
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,plants,0.18,0.0062,1,,335.1,0.47,0.012,1,,264.03,-,-,-,-,-,-,-,-,-,-
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,dist_coastline,0.1,0.55,1,,335.1,0.19,0.36,1,,264.03,-,-,-,-,-,-,-,-,-,-
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,dist_freshwater,0,0.17,1,,335.1,0,0.088,1,,264.03,-,-,-,-,-,-,-,-,-,-
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,mammals:plants,-0.09,0.19,1,,335.1,0.1,0.58,1,,264.03,-,-,-,-,-,-,-,-,-,-
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,start_prep_avg:mammals,0.04,0.58,1,,335.1,-0,0.98,1,,264.03,-,-,-,-,-,-,-,-,-,-
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,start_prep_avg:plants,-0.04,0.45,1,,335.1,-0.18,0.18,1,,264.03,-,-,-,-,-,-,-,-,-,-
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,start_temp_avg:mammals,-0.06,0.36,1,,335.1,-0.1,0.38,1,,264.03,-,-,-,-,-,-,-,-,-,-
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,start_temp_avg:elevation,0.03,0.71,1,,335.1,0.02,0.8,1,,264.03,-,-,-,-,-,-,-,-,-,-
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,start_prep_avg:start_prep_var,-0.01,0.57,1,,335.1,-0.01,0.54,1,,264.03,-,-,-,-,-,-,-,-,-,-
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,start_prep_var:dist_coastline,0.01,0.72,1,,335.1,-0,1,1,,264.03,-,-,-,-,-,-,-,-,-,-
Is water management provided to the group’s adherents by an institution(s) other than the religious group in question:,5191,start_prep_avg:mammals:plants,0.04,0.48,1,,335.1,-0.05,0.66,1,,264.03,-,-,-,-,-,-,-,-,-,-
