Question,Question ID,Variable,coefficients_1,p_value_1,adjust_p_value_1,sig_1,AIC_1,coefficients_2,p_value_2,adjust_p_value_2,sig_2,AIC_2,coefficients_3,p_value_3,adjust_p_value_3,sig_3,AIC_3,coefficients_4,p_value_4,adjust_p_value_4,sig_4,AIC_4
Does the religious group actively proselytize and recruit new members:,4668,(Intercept),0.06,0.64,1,,409.29,0.04,0.84,1,,285.8,-,-,-,-,-,-0.22,0.92,1,,101.32
Does the religious group actively proselytize and recruit new members:,4668,start_temp_avg,0.03,0.64,1,,409.29,0.03,0.78,1,,285.8,-,-,-,-,-,0.26,0.19,1,,101.32
Does the religious group actively proselytize and recruit new members:,4668,start_prep_avg,-0.25,0.029,1,,409.29,-0.31,0.039,1,,285.8,-,-,-,-,-,-0.87,0.66,1,,101.32
Does the religious group actively proselytize and recruit new members:,4668,start_prep_var,0.05,0.007,1,,409.29,0.06,0.0071,1,,285.8,-,-,-,-,-,0.04,0.89,1,,101.32
Does the religious group actively proselytize and recruit new members:,4668,elevation,0.16,0.087,1,,409.29,0.18,0.18,1,,285.8,-,-,-,-,-,0.61,0.051,1,,101.32
Does the religious group actively proselytize and recruit new members:,4668,mammals,-0.01,0.88,1,,409.29,0.14,0.46,1,,285.8,-,-,-,-,-,-0.14,0.49,1,,101.32
Does the religious group actively proselytize and recruit new members:,4668,plants,0.01,0.87,1,,409.29,-0.24,0.17,1,,285.8,-,-,-,-,-,-0.1,0.63,1,,101.32
Does the religious group actively proselytize and recruit new members:,4668,dist_coastline,0.04,0.83,1,,409.29,0.04,0.86,1,,285.8,-,-,-,-,-,-0.13,0.72,1,,101.32
Does the religious group actively proselytize and recruit new members:,4668,dist_freshwater,-0,0.084,1,,409.29,0,0.78,1,,285.8,-,-,-,-,-,-0,0.32,1,,101.32
Does the religious group actively proselytize and recruit new members:,4668,mammals:plants,-0.05,0.33,1,,409.29,-0.23,0.14,1,,285.8,-,-,-,-,-,-0.21,0.17,1,,101.32
Does the religious group actively proselytize and recruit new members:,4668,start_prep_avg:mammals,0.13,0.011,1,,409.29,0.03,0.85,1,,285.8,-,-,-,-,-,0.16,0.41,1,,101.32
Does the religious group actively proselytize and recruit new members:,4668,start_prep_avg:plants,-0.09,0.043,1,,409.29,0.11,0.38,1,,285.8,-,-,-,-,-,-0.18,0.35,1,,101.32
Does the religious group actively proselytize and recruit new members:,4668,start_temp_avg:mammals,0.06,0.32,1,,409.29,-0.03,0.81,1,,285.8,-,-,-,-,-,0.27,0.093,1,,101.32
Does the religious group actively proselytize and recruit new members:,4668,start_temp_avg:elevation,0.07,0.26,1,,409.29,0.08,0.37,1,,285.8,-,-,-,-,-,0.09,0.52,1,,101.32
Does the religious group actively proselytize and recruit new members:,4668,start_prep_avg:start_prep_var,0.03,0.051,1,,409.29,0.04,0.053,1,,285.8,-,-,-,-,-,0.13,0.64,1,,101.32
Does the religious group actively proselytize and recruit new members:,4668,start_prep_var:dist_coastline,-0.02,0.43,1,,409.29,-0.01,0.7,1,,285.8,-,-,-,-,-,-0,0.93,1,,101.32
Does the religious group actively proselytize and recruit new members:,4668,start_prep_avg:mammals:plants,-0.04,0.46,1,,409.29,0.1,0.31,1,,285.8,-,-,-,-,-,-0.29,0.27,1,,101.32
