Question,Question ID,Variable,coefficients_1,p_value_1,adjust_p_value_1,sig_1,AIC_1,coefficients_2,p_value_2,adjust_p_value_2,sig_2,AIC_2,coefficients_3,p_value_3,adjust_p_value_3,sig_3,AIC_3,coefficients_4,p_value_4,adjust_p_value_4,sig_4,AIC_4
Does the religious group have a general process/system for assigning religious affiliation:,4660,(Intercept),0.53,1.2e-4,0.22,,399.58,0.51,0.015,1,,268.7,2.06,0.74,1,,102.9,-1.03,0.6,1,,122.52
Does the religious group have a general process/system for assigning religious affiliation:,4660,start_temp_avg,-0.04,0.39,1,,399.58,-0.01,0.93,1,,268.7,0.22,0.59,1,,102.9,0.08,0.63,1,,122.52
Does the religious group have a general process/system for assigning religious affiliation:,4660,start_prep_avg,-0.04,0.71,1,,399.58,-0.19,0.16,1,,268.7,-1.11,0.78,1,,102.9,-2.49,0.24,1,,122.52
Does the religious group have a general process/system for assigning religious affiliation:,4660,start_prep_var,0.02,0.22,1,,399.58,0.03,0.18,1,,268.7,-0.25,0.78,1,,102.9,0.2,0.46,1,,122.52
Does the religious group have a general process/system for assigning religious affiliation:,4660,elevation,0.07,0.42,1,,399.58,0.11,0.43,1,,268.7,0.59,0.052,1,,102.9,0.37,0.12,1,,122.52
Does the religious group have a general process/system for assigning religious affiliation:,4660,mammals,0.08,0.24,1,,399.58,-0.05,0.78,1,,268.7,0.13,0.73,1,,102.9,0.16,0.47,1,,122.52
Does the religious group have a general process/system for assigning religious affiliation:,4660,plants,0.02,0.67,1,,399.58,-0,1,1,,268.7,-0.45,0.34,1,,102.9,-0.31,0.19,1,,122.52
Does the religious group have a general process/system for assigning religious affiliation:,4660,dist_coastline,-0.04,0.8,1,,399.58,-0.09,0.67,1,,268.7,-0.23,0.78,1,,102.9,-0.39,0.51,1,,122.52
Does the religious group have a general process/system for assigning religious affiliation:,4660,dist_freshwater,0,0.86,1,,399.58,0,0.34,1,,268.7,-0,0.63,1,,102.9,-0,0.61,1,,122.52
Does the religious group have a general process/system for assigning religious affiliation:,4660,mammals:plants,-0.06,0.24,1,,399.58,-0.31,0.063,1,,268.7,-0.36,0.36,1,,102.9,-0.32,0.2,1,,122.52
Does the religious group have a general process/system for assigning religious affiliation:,4660,start_prep_avg:mammals,0.05,0.29,1,,399.58,0.21,0.29,1,,268.7,0.3,0.43,1,,102.9,0.33,0.085,1,,122.52
Does the religious group have a general process/system for assigning religious affiliation:,4660,start_prep_avg:plants,0.02,0.57,1,,399.58,0.1,0.38,1,,268.7,-0.57,0.31,1,,102.9,-0.45,0.15,1,,122.52
Does the religious group have a general process/system for assigning religious affiliation:,4660,start_temp_avg:mammals,-0.04,0.5,1,,399.58,0.02,0.82,1,,268.7,0.12,0.53,1,,102.9,0.11,0.53,1,,122.52
Does the religious group have a general process/system for assigning religious affiliation:,4660,start_temp_avg:elevation,-0.03,0.55,1,,399.58,0.01,0.95,1,,268.7,-0.21,0.67,1,,102.9,-0.22,0.16,1,,122.52
Does the religious group have a general process/system for assigning religious affiliation:,4660,start_prep_avg:start_prep_var,0,0.74,1,,399.58,0.02,0.26,1,,268.7,0.26,0.63,1,,102.9,0.37,0.22,1,,122.52
Does the religious group have a general process/system for assigning religious affiliation:,4660,start_prep_var:dist_coastline,-0.01,0.55,1,,399.58,-0,0.99,1,,268.7,0,0.99,1,,102.9,0.02,0.78,1,,122.52
Does the religious group have a general process/system for assigning religious affiliation:,4660,start_prep_avg:mammals:plants,0.03,0.48,1,,399.58,0.13,0.19,1,,268.7,-0.54,0.36,1,,102.9,-0.42,0.18,1,,122.52
