Question,Question ID,Variable,coefficients_1,p_value_1,adjust_p_value_1,sig_1,AIC_1,coefficients_2,p_value_2,adjust_p_value_2,sig_2,AIC_2,coefficients_3,p_value_3,adjust_p_value_3,sig_3,AIC_3,coefficients_4,p_value_4,adjust_p_value_4,sig_4,AIC_4
Is there a conception of apostasy in the religious group:,4684,(Intercept),0.16,0.27,1,,422.68,0.23,0.28,1,,303.54,26.46,0.017,1,,65.59,-0.53,0.9,1,,100.85
Is there a conception of apostasy in the religious group:,4684,start_temp_avg,-0.03,0.64,1,,422.68,0.01,0.93,1,,303.54,-2.91,0.043,1,,65.59,0.3,0.19,1,,100.85
Is there a conception of apostasy in the religious group:,4684,start_prep_avg,-0.21,0.066,1,,422.68,-0.44,0.003,1,,303.54,33.51,0.016,1,,65.59,-0.14,0.97,1,,100.85
Is there a conception of apostasy in the religious group:,4684,start_prep_var,0.05,0.023,1,,422.68,0.05,0.045,1,,303.54,-3.62,0.015,1,,65.59,0.11,0.84,1,,100.85
Is there a conception of apostasy in the religious group:,4684,elevation,-0.1,0.34,1,,422.68,-0.11,0.44,1,,303.54,1.34,0.033,1,,65.59,0.2,0.39,1,,100.85
Is there a conception of apostasy in the religious group:,4684,mammals,0.02,0.74,1,,422.68,0.09,0.63,1,,303.54,-2.63,0.0063,1,,65.59,-0.09,0.81,1,,100.85
Is there a conception of apostasy in the religious group:,4684,plants,-0.04,0.48,1,,422.68,0.1,0.57,1,,303.54,-0.33,0.1,1,,65.59,-0.19,0.61,1,,100.85
Is there a conception of apostasy in the religious group:,4684,dist_coastline,0.09,0.65,1,,422.68,0.28,0.19,1,,303.54,9.58,0.0078,1,,65.59,0.34,0.87,1,,100.85
Is there a conception of apostasy in the religious group:,4684,dist_freshwater,-0,0.68,1,,422.68,0,0.65,1,,303.54,-0,0.37,1,,65.59,0,0.93,1,,100.85
Is there a conception of apostasy in the religious group:,4684,mammals:plants,0.05,0.35,1,,422.68,0.06,0.74,1,,303.54,1.37,0.018,1,,65.59,-0.02,0.9,1,,100.85
Is there a conception of apostasy in the religious group:,4684,start_prep_avg:mammals,0.03,0.58,1,,422.68,-0.04,0.83,1,,303.54,-2.87,0.012,1,,65.59,0.07,0.76,1,,100.85
Is there a conception of apostasy in the religious group:,4684,start_prep_avg:plants,-0.02,0.64,1,,422.68,0.01,0.96,1,,303.54,0.48,0.053,1,,65.59,0.05,0.86,1,,100.85
Is there a conception of apostasy in the religious group:,4684,start_temp_avg:mammals,-0.08,0.18,1,,422.68,0.19,0.12,1,,303.54,-0.14,0.38,1,,65.59,0.03,0.84,1,,100.85
Is there a conception of apostasy in the religious group:,4684,start_temp_avg:elevation,-0.04,0.53,1,,422.68,-0.01,0.95,1,,303.54,-4,0.029,1,,65.59,0.15,0.41,1,,100.85
Is there a conception of apostasy in the religious group:,4684,start_prep_avg:start_prep_var,0.03,0.1,1,,422.68,0.03,0.22,1,,303.54,-5.04,0.016,1,,65.59,0.01,0.98,1,,100.85
Is there a conception of apostasy in the religious group:,4684,start_prep_var:dist_coastline,-0.01,0.88,1,,422.68,-0.02,0.52,1,,303.54,-1.68,0.0071,1,,65.59,-0.08,0.85,1,,100.85
Is there a conception of apostasy in the religious group:,4684,start_prep_avg:mammals:plants,0.14,0.012,1,,422.68,0.1,0.32,1,,303.54,1.31,0.055,1,,65.59,-0.11,0.79,1,,100.85
